"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jimmy Graham (FA)","6","10","60","10.0","29","0","2","0","0","0","0","1","21.0","21.0","0.6%"
"2","Tyler Kroft (SF)","4","5","24","6.0","13","0","2","0","0","0","0","1","16.4","16.4","0.1%"
"3","Eric Ebron (FA)","5","7","52","10.4","17","0","1","0","0","0","0","1","13.7","13.7","0.6%"
"4","Robert Tonyan (GB)","5","5","50","10.0","16","0","1","0","0","0","0","1","13.5","13.5","33.9%"
"5","Mo Alie-Cox (IND)","3","3","50","16.7","45","0","1","0","0","0","0","1","12.5","12.5","3.4%"
"6","Travis Kelce (KC)","6","7","87","14.5","29","0","0","0","0","0","0","1","11.7","11.7","99.9%"
"7","Zach Ertz (ARI)","7","10","70","10.0","30","0","0","0","0","0","0","1","10.5","10.5","92.1%"
"8","Jesse James (FA)","3","4","28","9.3","15","0","1","0","0","0","0","1","10.3","10.3","0.0%"
"9","Foster Moreau (LV)","2","2","25","12.5","24","0","1","0","0","0","0","1","9.5","9.5","0.8%"
"10","Jonnu Smith (NE)","5","8","61","12.2","21","0","0","0","0","0","0","1","8.6","8.6","2.7%"
"11","Greg Olsen (FA)","5","6","61","12.2","21","0","0","0","0","0","0","1","8.6","8.6","7.0%"
"12","Jacob Hollister (LV)","1","2","1","1.0","1","0","1","0","0","0","0","1","8.6","8.6","0.1%"
"13","Marcedes Lewis (GB)","1","2","18","18.0","18","0","1","0","0","0","0","1","8.3","8.3","0.1%"
"14","Kyle Rudolph (FA)","2","3","11","5.5","8","0","1","0","0","0","0","1","8.1","8.1","0.1%"
"15","Mike Gesicki (MIA)","1","3","15","15.0","15","0","1","0","0","0","0","1","8.0","8.0","89.7%"
"16","Rob Gronkowski (FA)","6","7","48","8.0","10","0","0","0","0","0","0","1","7.8","7.8","57.1%"
"17","Hunter Henry (NE)","5","7","50","10.0","16","0","0","0","0","0","0","1","7.5","7.5","82.1%"
"18","T.J. Hockenson (DET)","4","7","53","13.3","27","0","0","0","0","0","0","1","7.3","7.3","95.7%"
"19","Noah Fant (SEA)","5","10","46","9.2","18","0","0","0","0","0","0","1","7.1","7.1","74.4%"
