"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Darren Waller (LV)","13","17","200","15.4","38","0","2","0","0","0","0","1","38.5","38.5","99.0%"
"2","Travis Kelce (KC)","8","12","136","17.0","28","0","1","0","0","0","0","1","23.6","23.6","99.9%"
"3","Logan Thomas (WAS)","9","9","98","10.9","30","0","1","0","0","0","0","1","20.3","20.3","35.9%"
"4","Mike Gesicki (MIA)","9","11","88","9.8","20","0","1","0","0","0","0","1","19.3","19.3","89.7%"
"5","Dan Arnold (JAC)","2","3","61","30.5","59","0","2","0","0","0","0","1","19.1","19.1","1.4%"
"6","Cole Kmet (CHI)","5","7","37","7.4","13","0","1","0","0","0","0","1","12.2","12.2","54.4%"
"7","T.J. Hockenson (DET)","7","9","84","12.0","24","0","0","0","0","0","0","1","11.9","11.9","95.7%"
"8","Robert Tonyan (GB)","4","5","39","9.8","25","0","1","0","0","0","0","1","11.9","11.9","33.9%"
"9","Dawson Knox (BUF)","4","4","27","6.8","12","0","1","0","0","0","0","1","10.7","10.7","90.3%"
"10","Jordan Reed (FA)","3","4","32","10.7","17","0","1","0","0","0","0","1","10.7","10.7","19.0%"
"11","Tyler Higbee (LAR)","4","6","24","6.0","16","0","1","0","0","0","0","1","10.4","10.4","41.2%"
"12","Jared Cook (FA)","3","5","28","9.3","11","0","1","0","0","0","0","1","10.3","10.3","1.3%"
"13","Eric Ebron (FA)","7","11","68","9.7","22","0","0","0","0","0","0","1","10.3","10.3","0.6%"
"14","Dallas Goedert (PHI)","5","7","66","13.2","41","0","0","0","0","0","0","1","9.1","9.1","94.3%"
"15","MyCole Pruitt (FA)","1","2","22","22.0","22","0","1","0","0","0","0","1","8.7","8.7","0.0%"
"16","Drew Sample (CIN)","7","7","49","7.0","15","0","0","0","0","0","0","1","8.4","8.4","0.2%"
"17","Noah Fant (SEA)","4","7","57","14.3","37","0","0","0","0","0","0","1","7.7","7.7","74.4%"
"18","Anthony Firkser (ATL)","5","7","51","10.2","14","0","0","0","0","0","0","1","7.6","7.6","0.6%"
"19","Tyler Eifert (FA)","6","6","45","7.5","13","0","0","0","0","0","0","1","7.5","7.5","0.0%"
"20","Gerald Everett (LAC)","6","7","44","7.3","22","0","0","0","0","0","0","1","7.4","7.4","21.0%"
"21","Jesse James (FA)","1","3","9","9.0","9","0","1","0","0","0","0","1","7.4","7.4","0.0%"
"22","Dalton Schultz (DAL)","4","4","44","11.0","19","0","0","0","0","0","0","1","6.4","6.4","96.5%"
"23","James O'Shaughnessy (CHI)","4","6","41","10.3","24","0","0","0","0","0","0","1","6.1","6.1","0.2%"
"24","Evan Engram (JAC)","4","8","32","8.0","11","0","0","0","0","0","0","1","5.2","5.2","18.0%"
"25","Will Dissly (SEA)","4","5","28","7.0","10","0","0","0","0","0","0","1","4.8","4.8","0.3%"
"26","Charlie Woerner (SF)","2","2","33","16.5","18","0","0","0","0","0","0","1","4.3","4.3","0.0%"
"27","Ryan Griffin (CHI)","2","2","31","15.5","18","0","0","0","0","0","0","1","4.1","4.1","0.1%"
"28","Zach Ertz (ARI)","2","4","31","15.5","20","0","0","0","0","0","0","1","4.1","4.1","92.1%"
"29","Marcedes Lewis (GB)","1","1","36","36.0","36","0","0","0","0","0","0","1","4.1","4.1","0.1%"
"30","Ross Dwelley (SF)","2","2","29","14.5","17","0","0","0","0","0","0","1","3.9","3.9","0.1%"
"31","Mo Alie-Cox (IND)","3","5","23","7.7","17","0","0","0","0","0","0","1","3.8","3.8","3.4%"
"32","Jacob Hollister (LV)","3","4","20","6.7","10","0","0","0","0","0","0","1","3.5","3.5","0.1%"
"33","Austin Hooper (TEN)","2","2","24","12.0","16","0","0","0","0","0","0","1","3.4","3.4","12.4%"
